date,edition,source_url,markdown_filename,release_tag
2026-01-02,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=02012026-MAT.pdf&anio=2026&repo=repositorio/,02012026-MAT.md,dof-2026
2026-01-02,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=02012026-VES.pdf&anio=2026&repo=repositorio/,02012026-VES.md,dof-2026
2026-01-05,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=05012026-MAT.pdf&anio=2026&repo=repositorio/,05012026-MAT.md,dof-2026
2026-01-06,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=06012026-MAT.pdf&anio=2026&repo=repositorio/,06012026-MAT.md,dof-2026
2026-01-07,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=07012026-MAT.pdf&anio=2026&repo=repositorio/,07012026-MAT.md,dof-2026
2026-01-08,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=08012026-MAT.pdf&anio=2026&repo=repositorio/,08012026-MAT.md,dof-2026
2026-01-09,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=09012026-MAT.pdf&anio=2026&repo=repositorio/,09012026-MAT.md,dof-2026
2026-01-12,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=12012026-MAT.pdf&anio=2026&repo=repositorio/,12012026-MAT.md,dof-2026
2026-01-13,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=13012026-MAT.pdf&anio=2026&repo=repositorio/,13012026-MAT.md,dof-2026
2026-01-13,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=13012026-VES.pdf&anio=2026&repo=repositorio/,13012026-VES.md,dof-2026
2026-01-14,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=14012026-MAT.pdf&anio=2026&repo=repositorio/,14012026-MAT.md,dof-2026
2026-01-15,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=15012026-MAT.pdf&anio=2026&repo=repositorio/,15012026-MAT.md,dof-2026
2026-01-16,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=16012026-MAT.pdf&anio=2026&repo=repositorio/,16012026-MAT.md,dof-2026
2026-01-16,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=16012026-VES.pdf&anio=2026&repo=repositorio/,16012026-VES.md,dof-2026
2026-01-19,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=19012026-MAT.pdf&anio=2026&repo=repositorio/,19012026-MAT.md,dof-2026
2026-01-20,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=20012026-MAT.pdf&anio=2026&repo=repositorio/,20012026-MAT.md,dof-2026
2026-01-21,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=21012026-MAT.pdf&anio=2026&repo=repositorio/,21012026-MAT.md,dof-2026
2026-01-22,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=22012026-MAT.pdf&anio=2026&repo=repositorio/,22012026-MAT.md,dof-2026
2026-01-23,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=23012026-MAT.pdf&anio=2026&repo=repositorio/,23012026-MAT.md,dof-2026
2026-01-23,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=23012026-VES.pdf&anio=2026&repo=repositorio/,23012026-VES.md,dof-2026
2026-01-26,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=26012026-MAT.pdf&anio=2026&repo=repositorio/,26012026-MAT.md,dof-2026
2026-01-27,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=27012026-MAT.pdf&anio=2026&repo=repositorio/,27012026-MAT.md,dof-2026
2026-01-28,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=28012026-MAT.pdf&anio=2026&repo=repositorio/,28012026-MAT.md,dof-2026
2026-01-29,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=29012026-MAT.pdf&anio=2026&repo=repositorio/,29012026-MAT.md,dof-2026
2026-01-29,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=29012026-VES.pdf&anio=2026&repo=repositorio/,29012026-VES.md,dof-2026
2026-01-30,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=30012026-MAT.pdf&anio=2026&repo=repositorio/,30012026-MAT.md,dof-2026
2026-02-03,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=03022026-MAT.pdf&anio=2026&repo=repositorio/,03022026-MAT.md,dof-2026
2026-02-04,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=04022026-MAT.pdf&anio=2026&repo=repositorio/,04022026-MAT.md,dof-2026
2026-02-05,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=05022026-MAT.pdf&anio=2026&repo=repositorio/,05022026-MAT.md,dof-2026
2026-02-06,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=06022026-MAT.pdf&anio=2026&repo=repositorio/,06022026-MAT.md,dof-2026
2026-02-06,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=06022026-VES.pdf&anio=2026&repo=repositorio/,06022026-VES.md,dof-2026
2026-02-09,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=09022026-MAT.pdf&anio=2026&repo=repositorio/,09022026-MAT.md,dof-2026
2026-02-10,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=10022026-MAT.pdf&anio=2026&repo=repositorio/,10022026-MAT.md,dof-2026
2026-02-11,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=11022026-MAT.pdf&anio=2026&repo=repositorio/,11022026-MAT.md,dof-2026
2026-02-12,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=12022026-MAT.pdf&anio=2026&repo=repositorio/,12022026-MAT.md,dof-2026
2026-02-13,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=13022026-MAT.pdf&anio=2026&repo=repositorio/,13022026-MAT.md,dof-2026
2026-02-13,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=13022026-VES.pdf&anio=2026&repo=repositorio/,13022026-VES.md,dof-2026
2026-02-16,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=16022026-MAT.pdf&anio=2026&repo=repositorio/,16022026-MAT.md,dof-2026
2026-02-16,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=16022026-VES.pdf&anio=2026&repo=repositorio/,16022026-VES.md,dof-2026
2026-02-17,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=17022026-MAT.pdf&anio=2026&repo=repositorio/,17022026-MAT.md,dof-2026
2026-02-18,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=18022026-MAT.pdf&anio=2026&repo=repositorio/,18022026-MAT.md,dof-2026
2026-02-18,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=18022026-VES.pdf&anio=2026&repo=repositorio/,18022026-VES.md,dof-2026
2026-02-19,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=19022026-MAT.pdf&anio=2026&repo=repositorio/,19022026-MAT.md,dof-2026
2026-02-20,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=20022026-MAT.pdf&anio=2026&repo=repositorio/,20022026-MAT.md,dof-2026
2026-02-23,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=23022026-MAT.pdf&anio=2026&repo=repositorio/,23022026-MAT.md,dof-2026
2026-02-24,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=24022026-MAT.pdf&anio=2026&repo=repositorio/,24022026-MAT.md,dof-2026
2026-02-25,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=25022026-MAT.pdf&anio=2026&repo=repositorio/,25022026-MAT.md,dof-2026
2026-02-26,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=26022026-MAT.pdf&anio=2026&repo=repositorio/,26022026-MAT.md,dof-2026
2026-02-27,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=27022026-MAT.pdf&anio=2026&repo=repositorio/,27022026-MAT.md,dof-2026
2026-03-02,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=02032026-MAT.pdf&anio=2026&repo=repositorio/,02032026-MAT.md,dof-2026
2026-03-03,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=03032026-MAT.pdf&anio=2026&repo=repositorio/,03032026-MAT.md,dof-2026
2026-03-03,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=03032026-VES.pdf&anio=2026&repo=repositorio/,03032026-VES.md,dof-2026
