ley,no,fecha,codNota,confianza,titulo_dof,decreto_dip
cpeum,,05-02-1917,4432273,1.0,"CONSTITUCION Política de los Estados Unidos Mexicanos, que Reforma la de 5 de Febrero de 1857","CONSTITUCIÓN Política de los Estados Unidos Mexicanos, que reforma la de 5 de febrero de 1857. Fe de erratas | DOF 06/02/1917 | Imagen |"
cpeum,1,08-07-1921,4426823,1.0,"DECRETO reformando el artículo 14 transitorio y la fracción XXVII del artículo 73 de la Constitución, relativo a planteles de Instrucción Pública","DECRETO reformando el artículo 14 transitorio y la fracción XXVII del artículo 73 de la Constitución, relativo a planteles de Instrucción Pública. Faculta al Congreso para establecer en toda la República escuelas rurales, elementales, secundarias, superiores y profesionales. Señala la jurisdicción de la Federación sobre los planteles que ella establezca. Deja sin efecto la anterior supresión de la Secretaría de Instrucción Pública y Bellas Artes."
cpeum,2,24-11-1923,4551928,1.0,"DECRETO reformando varios artículos de la Constitución Política de la República, en lo relativo a sesiones ordinarias y extraordinarias del H. Congreso de la Unión","DECRETO reformando varios artículos de la Constitución Política de la República, en lo relativo a sesiones ordinarias y extraordinarias del H. Congreso de la Unión. Otorga a la Comisión Permanente la facultad para convocar a sesiones extraordinarias del Congreso."
cpeum,3,22-01-1927,4520409,1.0,DECRETO por el cual se reforman los artículos 82 y 83 de la Constitución Federal,DECRETO por el cual se reforman los artículos 82 y 83 de la Constitución Federal. Establece la reelección del Presidente para un segundo periodo no inmediato.
cpeum,4,24-01-1928,4578870,1.0,DECRETO por el cual se reforma el artículo 83 de la Constitución General,DECRETO por el cual se reforma el artículo 83 de la Constitución General. Amplía el periodo presidencial de 4 a 6 años .
cpeum,5,20-08-1928,4601265,0.973,"LEY que reforma los artículos 73, 74, 76, 79, 89, 94, 96, 97, 98, 99, 100 y 111 de la Construcción Política de la República","LEY que reforma los artículo 73, 74, 76, 79, 89, 94, 96, 97, 98, 99, 100, y 111 de la Constitución Política de la República. Faculta al Congreso y al Ejecutivo Federal para nombrar ministros, magistrados y jueces del Poder Judicial federal y del Distrito Federal."
cpeum,6,20-08-1928,4601276,0.956,LEY que reforma el artículo 52 y el párrafo cuarto de la fracción III del artículo 115 de la Constitución Federal,LEY que reforma el artículo 52 y el párrafo cuarto de la fracción III del art. 115 de la Constitución Federal. Reduce el número de diputados del Congreso de la Unión y de las Legislaturas de los Estados
cpeum,7,20-08-1928,4601283,1.0,"LEY que reforma las bases 1a., 2a. y 3a. de la fracción VI del artículo 73 de la Constitución Federal","LEY que reforma las bases 1a., 2a. y 3a. de la fracción VI del artículo 73 de la Constitución Federal. Faculta al Congreso para legislar en materia del gobierno del Distrito y Territorios Federales."
cpeum,8,06-09-1929,4433649,1.0,LEY por la cual se reforman los artículos 73 y 123 de la Constitución General de la República,LEY por la cual se reforman los artículos 73 y 123 de la Constitución General de la República. Establece la facultad del Congreso para expedir las leyes del trabajo reglamentarias del artículo 123 constitucional.
cpeum,9,07-02-1931,4503819,1.0,DECRETO por el cual se modifican los artículos 43 y 45 de la Constitución Política de los Estados Unidos Mexicanos,DECRETO por el cual se modifican los artículos 43 y 45 de la Constitución Política de los Estados Unidos Mexicanos. Precisa la división de los Territorios Norte y Sur de Baja California.
