year,word,notes
1970,ACUERDO,2275
1970,AVISO,53
1970,CIRCULAR,198
1970,COMISION,1
1970,CONVENIO,63
1970,DECLARATORIA,95
1970,DECRETO,525
1970,EXTRACTO,32
1970,NOTIFICACION,135
1970,OFICIO,368
1970,OTHER,968
1970,RESOLUCION,1734
1970,SOLICITUD,362
1971,ACUERDO,610
1971,AVISO,44
1971,CIRCULAR,147
1971,CONVENIO,92
1971,DECLARATORIA,81
1971,DECRETO,341
1971,EXTRACTO,1
1971,NOTIFICACION,51
1971,OFICIO,365
1971,OTHER,843
1971,RESOLUCION,1146
1971,SOLICITUD,374
1972,ACUERDO,634
1972,AVISO,56
1972,CIRCULAR,199
1972,CONVENIO,44
1972,DECLARATORIA,102
1972,DECRETO,469
1972,EXTRACTO,8
1972,NOTIFICACION,200
1972,OFICIO,347
1972,OTHER,625
1972,RESOLUCION,1142
1972,SOLICITUD,644
1973,ACUERDO,817
1973,AVISO,89
1973,CIRCULAR,194
1973,CONVENIO,81
1973,DECLARATORIA,76
1973,DECRETO,455
1973,EXTRACTO,6
1973,NOTIFICACION,488
1973,OFICIO,339
1973,OTHER,976
1973,RESOLUCION,983
1973,SOLICITUD,325
1974,ACUERDO,1609
1974,AVISO,87
1974,CIRCULAR,183
1974,CONVENIO,46
1974,DECLARATORIA,62
1974,DECRETO,734
1974,EXTRACTO,28
1974,NOTIFICACION,615
1974,OFICIO,417
1974,OTHER,724
1974,RESOLUCION,2064
1974,SOLICITUD,205
1975,ACUERDO,1455
1975,AVISO,63
1975,CIRCULAR,121
1975,CONVENIO,27
1975,DECLARATORIA,64
1975,DECRETO,887
1975,EXTRACTO,18
1975,NOTIFICACION,641
1975,OFICIO,430
1975,OTHER,842
1975,RESOLUCION,3134
1975,SOLICITUD,281
1976,ACUERDO,797
1976,AVISO,45
1976,CIRCULAR,138
1976,COMISION,1
1976,CONVENIO,68
1976,DECLARATORIA,30
1976,DECRETO,1208
1976,EXTRACTO,7
1976,NOTIFICACION,629
1976,OFICIO,435
1976,OTHER,953
1976,RESOLUCION,5012
1976,SOLICITUD,395
1977,ACUERDO,523
1977,AVISO,77
1977,CIRCULAR,76
1977,CONVENIO,56
1977,DECLARATORIA,81
1977,DECRETO,413
1977,EXTRACTO,3
1977,NOTIFICACION,1497
1977,OFICIO,556
1977,OTHER,764
1977,RESOLUCION,1739
1977,SOLICITUD,124
1978,ACUERDO,563
1978,AVISO,122
1978,CIRCULAR,49
1978,CONVENIO,47
1978,DECLARATORIA,434
1978,DECRETO,1248
1978,EXTRACTO,11
1978,NOTIFICACION,1332
1978,OFICIO,566
1978,OTHER,755
1978,RESOLUCION,2057
1978,SOLICITUD,98
1979,ACUERDO,918
1979,AVISO,268
1979,CIRCULAR,25
1979,CONVENIO,67
1979,DECLARATORIA,356
1979,DECRETO,998
1979,EXTRACTO,27
1979,NOTIFICACION,903
1979,OFICIO,519
1979,OTHER,744
1979,RESOLUCION,3679
1979,SOLICITUD,113
1980,ACUERDO,2533
1980,AVISO,347
1980,CIRCULAR,7
1980,CONVENIO,102
1980,DECLARATORIA,239
1980,DECRETO,985
1980,EXTRACTO,8
1980,NOTIFICACION,437
1980,OFICIO,535
1980,OTHER,912
