year,heading,notes
1970,PODER EJECUTIVO,6663
1970,PODER JUDICIAL,4
1970,PODER LEGISLATIVO,142
1971,PODER EJECUTIVO,3936
1971,PODER LEGISLATIVO,159
1972,PODER EJECUTIVO,4303
1972,PODER JUDICIAL,4
1972,PODER LEGISLATIVO,163
1973,PODER EJECUTIVO,4680
1973,PODER JUDICIAL,2
1973,PODER LEGISLATIVO,147
1974,PODER EJECUTIVO,6721
1974,PODER JUDICIAL,1
1974,PODER LEGISLATIVO,52
1975,PODER EJECUTIVO,7906
1975,PODER JUDICIAL,3
1975,PODER LEGISLATIVO,54
1976,PODER EJECUTIVO,9716
1976,PODER JUDICIAL,1
1976,PODER LEGISLATIVO,1
1977,PODER EJECUTIVO,5906
1977,PODER JUDICIAL,1
1977,PODER LEGISLATIVO,2
1978,PODER EJECUTIVO,7278
1978,PODER JUDICIAL,4
1979,PODER EJECUTIVO,8614
1979,PODER JUDICIAL,1
1979,PODER LEGISLATIVO,2
1980,ORGANISMOS AUTONOMOS,2
1980,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,2
1980,PODER EJECUTIVO,10917
1980,PODER JUDICIAL,3
1980,PODER LEGISLATIVO,3
1981,ORGANISMOS AUTONOMOS,1
1981,PODER EJECUTIVO,8843
1981,PODER JUDICIAL,1
1981,PODER LEGISLATIVO,4
1982,ORGANISMOS AUTONOMOS,3
1982,PODER EJECUTIVO,6081
1982,PODER JUDICIAL,1
1983,ORGANISMOS AUTONOMOS,4
1983,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,10
1983,PODER EJECUTIVO,5876
1983,PODER LEGISLATIVO,1
1984,ORGANISMOS AUTONOMOS,1
1984,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,17
1984,PODER EJECUTIVO,5592
1984,PODER JUDICIAL,5
1985,ORGANISMOS AUTONOMOS,11
1985,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,13
1985,OTROS,1
1985,PODER EJECUTIVO,5037
1985,PODER JUDICIAL,7
1985,PODER LEGISLATIVO,7
1985,SUPLEMENTO,18
1986,ORGANISMOS AUTONOMOS,1
1986,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,4
1986,PODER EJECUTIVO,4191
1986,PODER JUDICIAL,19
1986,SUPLEMENTO,33
1987,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,6
1987,PODER EJECUTIVO,6310
1987,PODER JUDICIAL,22
1987,PODER LEGISLATIVO,4
1987,SUPLEMENTO,6
1988,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",1
1988,ORGANISMOS AUTONOMOS,5
1988,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,15
1988,PODER EJECUTIVO,6381
1988,PODER JUDICIAL,48
1988,PODER LEGISLATIVO,2
1989,ORGANISMOS AUTONOMOS,2
1989,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,20
1989,PODER EJECUTIVO,3997
1989,PODER JUDICIAL,34
1989,PODER LEGISLATIVO,2
1990,ORGANISMOS AUTONOMOS,10
1990,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,25
1990,PODER EJECUTIVO,4494
1990,PODER JUDICIAL,34
1990,PODER LEGISLATIVO,3
1991,ORGANISMOS AUTONOMOS,156
1991,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,11
1991,PODER EJECUTIVO,5064
1991,PODER JUDICIAL,52
1991,PODER LEGISLATIVO,1
1992,ORGANISMOS AUTONOMOS,151
1992,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,25
1992,PODER EJECUTIVO,5080
1992,PODER JUDICIAL,32
1992,PODER LEGISLATIVO,1
