decade,term,count
1910,estado,2275
1910,aguas,1700
1910,senor,1494
1910,rio,1403
1910,propiedad,1195
1910,dia,1020
1910,sesion,1018
1910,acta,974
1910,declaracion,929
1910,solicitud,924
1910,presentada,839
1910,celebrada,817
1910,circular,719
1910,nacion,686
1910,republica,680
1910,contrato,661
1910,caducidad,609
1910,aprovechamiento,593
1910,decreto,565
1910,celebrado,559
1910,presidente,522
1910,secretaria,492
1910,san,488
1910,arroyo,473
1910,reservado,472
1910,concesion,468
1910,mil,437
1910,mexico,424
1910,diez,424
1910,novecientos,424
1910,aprovechar,402
1910,relativo,396
1910,edo,358
1910,sinaloa,335
1910,ciudadano,335
1910,ley,319
1910,oficio,303
1910,resolucion,299
1910,literaria,294
1910,general,293
1910,relativa,291
1910,lic,291
1910,estados,287
1910,veracruz,285
1910,acuerdo,278
1910,vecinos,271
1910,congreso,262
1910,expediente,252
1910,jose,251
1910,explotacion,247
1910,senores,240
1910,nueve,236
1910,mayo,235
1910,ano,235
1910,parte,234
1910,mineros,230
1910,nuevo,228
1910,leon,221
1910,jalisco,219
1910,distrito,217
1920,estado,25127
1920,aguas,11875
1920,senor,11009
1920,rio,8136
1920,solicitud,8128
1920,aprovechar,7970
1920,presentada,7962
1920,cancelacion,6557
1920,fiscal,6444
1920,registro,6390
1920,propiedad,5518
1920,mina,5484
1920,decreto,4822
1920,nacional,4634
1920,riego,4491
1920,num,4154
1920,san,4114
1920,mexico,3826
1920,contrato,3565
1920,declaracion,3510
1920,resolucion,3509
1920,celebrado,3491
1920,expediente,3459
1920,vecinos,3429
1920,terreno,3133
1920,dia,3069
1920,dotacion,3029
1920,circular,2762
1920,veracruz,2750
1920,arroyo,2601
1920,pueblo,2469
1920,numero,2276
1920,explotacion,2270
1920,acuerdo,2198
1920,ejidos,2139
1920,sonora,1896
1920,federal,1884
1920,reservado,1826
1920,derechos,1798
1920,fuerza,1794
1920,terrenos,1792
1920,oficio,1781
1920,concesion,1776
1920,arrendamiento,1766
1920,durango,1763
1920,compania,1755
1920,acta,1737
1920,deberan,1731
1920,distrito,1722
1920,mil,1712
1920,motriz,1650
1920,tarifa,1625
1920,sesion,1618
1920,fijando,1611
1920,novecientos,1600
1920,promovida,1593
1920,regir,1592
1920,senores,1588
1920,puebla,1585
1920,senora,1569
1930,estado,22338
1930,expediente,13122
1930,resolucion,13082
1930,poblado,12111
1930,dotacion,10509
1930,ejidos,9147
1930,senor,5791
1930,decreto,5703
1930,san,5202
1930,numero,4504
1930,tierras,3841
1930,cancelacion,3783
1930,lote,3625
1930,acuerdo,3582
1930,minero,3359
1930,registro,3341
1930,fiscal,3341
1930,aguas,3208
1930,nacional,3020
1930,solicitud,2980
1930,mexico,2766
1930,ampliacion,2751
1930,concesion,2536
1930,rio,2345
1930,veracruz,2318
1930,declara,2201
1930,titulo,1948
1930,petroleras,1767
1930,michoacan,1763
1930,propiedad,1714
1930,circular,1693
1930,jalisco,1668
1930,otorgado,1660
1930,declaracion,1658
1930,explotacion,1641
1930,contrato,1601
1930,aprovechar,1571
1930,puebla,1552
1930,revocacion,1519
1930,terreno,1502
1930,celebrado,1474
1930,guanajuato,1360
1930,exploracion,1346
1930,ley,1319
1930,impuesto,1266
1930,arroyo,1259
1930,presentada,1254
1930,luis,1211
1930,servicio,1180
1930,santa,1172
1930,confirmatoria,1158
1930,nacionales,1150
1930,compania,1119
1930,modifica,1113
1930,federal,1110
1930,aviso,1101
1930,chihuahua,1095
1930,num,1094
1930,autorizacion,1081
1930,hidalgo,1069
1940,acuerdo,17851
1940,inafectabilidad,13531
1940,poblado,13231
1940,resolucion,13126
1940,estado,11753
1940,expediente,10310
1940,ejidos,9527
1940,predio,8531
1940,senor,7043
1940,dotacion,6801
1940,san,6725
1940,ampliacion,5301
1940,fraccion,4822
1940,decreto,4537
1940,solicitud,4319
1940,autorizacion,3238
1940,numero,3130
1940,aguas,3019
1940,jal,2890
1940,lote,2739
1940,hacienda,2563
1940,aviso,2222
1940,concesion,2137
1940,rio,2137
1940,afectados,2120
1940,consideren,2075
1940,num,2068
1940,terreno,2026
1940,mexico,1949
1940,ley,1913
1940,deslinde,1891
1940,propiedad,1867
1940,mexicana,1865
1940,funciones,1815
1940,ejercer,1789
1940,nacional,1759
1940,santa,1690
1940,utilizar,1667
1940,gto,1641
1940,jose,1537
1940,concedida,1496
1940,otorgada,1489
1940,rancho,1484
1940,naturalizacion,1450
1940,chih,1339
1940,ejido,1337
1940,mich,1331
1940,jalisco,1257
1940,terrenos,1238
1940,estados,1222
1940,impuesto,1221
1940,sociedad,1205
1940,acta,1197
1940,circular,1182
1940,pue,1175
1940,maria,1171
1940,celebrada,1148
1940,unidos,1138
1940,tierras,1117
1940,tam,1112
1950,poblado,12630
1950,acuerdo,12242
1950,resolucion,11393
1950,inafectabilidad,8658
1950,numero,8153
