year,notes,chars_mean,chars_median,words_mean,words_median
1917,2670,134.98,132.0,22.13,21.0
1918,2999,112.01,105,18.0,18
1919,3244,113.67,109.0,18.57,18.0
1920,3429,104.87,102,17.1,17
1921,4367,114.76,113,18.48,18
1922,4309,120.04,116,19.47,19
1923,4999,121.76,123,19.86,20
1924,5074,118.29,121.0,19.26,19.0
1925,6269,114.18,112,18.63,18
1926,4242,131.83,129.0,21.41,21.0
1927,5067,133.39,131,21.89,21
1928,4599,130.96,125,21.52,21
1929,4612,128.81,124.0,20.91,20.0
1930,4427,116.03,112,18.68,18
1931,3796,116.67,115.0,18.87,19.0
1932,3635,114.62,109,18.18,17
1933,4083,111.25,103,17.62,16
1934,5295,111.67,103,18.01,17
1935,3636,108.88,100.0,17.56,16.0
1936,4710,106.51,97.0,17.05,16.0
1937,4654,105.85,98.0,17.05,16.0
1938,3056,108.11,100.0,17.25,16.0
1939,4326,102.24,96.0,16.42,16.0
1940,5152,101.08,96.0,16.07,15.0
1941,4697,100.34,96,15.92,15
1942,4945,100.04,95,15.88,15
1943,4566,106.54,99.0,17.04,16.0
1944,4467,113.68,106,18.28,17
1945,5096,113.32,106.0,18.1,17.0
1946,5870,114.37,105.0,18.32,17.0
1947,5692,112.21,104.0,17.87,17.0
1948,5503,115.03,105,18.18,17
1949,6403,119.27,108,18.78,17
1950,5276,122.49,114.0,19.25,18.0
1951,6054,122.85,113.0,19.35,18.0
1952,5780,132.14,124.5,20.77,19.0
1953,5485,133.7,123,21.03,19
1954,5701,136.27,131,21.36,20
1955,4751,135.3,128,21.15,20
1956,4544,138.61,129.0,21.66,20.0
1957,4372,142.96,135.0,22.46,21.0
1958,4758,140.96,135.0,21.88,21.0
1959,4523,148.83,141,23.28,22
1960,4652,152.08,148.0,24.04,24.0
1961,4473,152.57,148,24.13,24
1962,4489,153.89,153,24.48,25
1963,4455,146.24,144,23.12,23
1964,5842,149.24,145.0,23.57,23.0
1965,4459,150.59,151,23.91,24
1966,5315,153.61,153,24.3,24
1967,5640,159.64,156.0,24.78,24.0
1968,5216,157.58,151.0,24.41,23.0
1969,5093,161.79,156,24.98,24
1970,6809,165.27,153,25.6,24
1971,4095,189.07,180,29.44,28
1972,4470,186.88,181.0,29.07,28.0
1973,4829,178.69,167,27.68,26
1974,6774,179.23,170.0,27.49,25.0
1975,7963,167.41,167,25.47,25
1976,9718,166.74,168.0,25.44,25.0
1977,5909,161.98,162,24.87,25
1978,7282,186.72,185.0,28.43,28.0
1979,8617,199.22,201,29.85,29
1980,10927,190.05,185,27.7,26
1981,8849,179.69,167,26.63,25
1982,6085,176.25,164,27.07,25
1983,5891,180.42,175,27.66,26
1984,5615,191.0,169,29.27,26
1985,5094,159.13,144.0,24.78,22.0
1986,4248,149.36,139.0,23.29,22.0
1987,6348,152.21,137.0,23.54,21.0
1988,6452,154.55,133.0,23.67,20.0
1989,4055,153.04,136,23.6,21
1990,4566,172.53,152.0,26.83,24.0
1991,5284,171.03,149.0,26.2,22.0
1992,5289,163.35,138,25.25,22
1993,9420,163.84,147.0,24.54,22.0
1994,10407,164.37,156,24.73,24
1995,5163,165.96,165,24.75,24
1996,13754,130.88,114.0,19.85,18.0
1997,12598,136.94,114.0,20.81,18.0
1998,12921,137.13,114,20.88,17
1999,28238,68.94,45.0,9.66,5.0
2000,27006,77.25,45.0,10.92,6.0
2001,24765,74.78,45,10.47,6
2002,23997,74.93,45,10.54,6
2003,23735,75.42,45,10.65,6
2004,24888,86.69,49.0,12.41,6.0
2005,25706,88.56,49.0,12.74,6.0
2006,27705,87.44,49,12.53,6
2007,27509,81.01,47,11.5,6
2008,30731,76.36,49,10.77,6
2009,28765,81.06,50,11.5,6
2010,29888,82.83,50.0,11.73,6.0
2011,34234,77.52,46.0,10.88,5.0
2012,35091,80.22,45,11.35,5
2013,34472,70.99,44.0,10.02,5.0
2014,36041,75.47,45,10.63,6
2015,33983,86.92,47,12.32,6
2016,32633,101.76,49,14.65,6
2017,31104,80.82,46.0,11.41,6.0
2018,30321,86.43,46,12.27,6
2019,25576,77.96,46.0,11.08,6.0
2020,19889,92.71,48,13.41,6
2021,23406,84.24,46.0,12.08,6.0
2022,26749,80.0,45,11.46,6
2023,27601,81.97,45,11.79,6
2024,23403,93.01,46,13.48,6
2025,23816,87.83,45.0,12.75,6.0
